DWZZJGDM,SJDWMC,DWXZMC,DWHYMC,GZZWLBMC,DWSZDDM
91330000727215176K,浙江大华技术股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,330108
91330108MA2GY7BBX4,杭州芯迈半导体技术有限公司,外商投资企业,制造业,工程技术人员,浙江省杭州市滨江区
91610000790789076W,陕西九州生物医药科技集团有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,陕西省西安市雁塔区
91310000MA7HRW6X8T,天信达信息技术有限公司上海分公司,国有企业,信息传输、软件和信息技术服务业,其他人员,上海市闵行区
91350000753132120Q,中国电信股份有限公司福建分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,福建省福州市鼓楼区
91110302MA01BWGJ2K,北京沃东天骏信息技术有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,北京市大兴区
9111010880200170X7,华为技术有限公司北京研究所,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,北京市海淀区
91540000219673613X,中国农业银行股份有限公司西藏自治区分行,国有企业,金融业,金融业务人员,西藏拉萨市城关区
91320500837691819W,中国银行股份有限公司苏州分行,国有企业,金融业,金融业务人员,江苏省苏州市市辖区
91320100686722613B,瑞声科技（南京）有限公司,外商投资企业,制造业,工程技术人员,江苏省南京市栖霞区
91110105592302589A,学而思乐未来教育科技（北京）有限公司,其他企业（含民营企业等）,科学研究和技术服务业,教学人员,陕西省西安市碑林区
91210200241765653R,信华信技术股份有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,辽宁省大连市甘井子区
91110105MA001LTR54,北京三快网络科技有限公司,外商投资企业,科学研究和技术服务业,工程技术人员,北京市朝阳区
913402007139708758,奇瑞汽车股份有限公司,国有企业,制造业,其他专业技术人员,安徽省芜湖市鸠江区
91500000MAAC29095E,重庆星网网络系统研究院有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,重庆市渝北区
91340100336697286Q,科大国创云网科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,安徽省合肥市蜀山区
916101376786471747,西安蓝天维特航空科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,陕西省西安市长安区
12330200MB1P683255,宁波大学附属第一医院,医疗卫生单位,卫生和社会工作,其他专业技术人员,浙江省宁波市海曙区
9143020044517525X1,中车株洲电力机车研究所有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,湖南省株洲市石峰区
91420900706936732L,湖北三江航天万峰科技发展有限公司,国有企业,制造业,其他专业技术人员,湖北省孝感市孝南区
91430122748386783F,晟通科技集团有限公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,湖南省长沙市望城区
12140000405747348X,中北大学,高等教育单位,教育,科学研究人员,山西省太原市尖草坪区
91340104MA2UQNNQ1X,合肥我们方田教育科技有限公司,其他企业（含民营企业等）,教育,教学人员,安徽省合肥市蜀山区
91440300715281416K,维谛技术有限公司,外商投资企业,制造业,工程技术人员,广东省深圳市南山区
91440300359638385U,杰华特微电子（深圳）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
91610131MAB0GHBP5M,英特仿真科技（西安）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
91610131MA6WNP1D3F,中电太极（集团）有限公司西安研发中心,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市新城区
91350000710920936D,中国移动通信集团福建有限公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,福建省福州市市辖区
91420100MA4KXDMK15,武汉金山云信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,经济业务人员,湖北省武汉市洪山区
91350200MA2XWQAT7G,厦门厦钨新能源材料股份有限公司,国有企业,制造业,工程技术人员,福建省厦门市海沧区
91340100694110182B,宏晶微电子科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,安徽省合肥市蜀山区
91370600746560186C,烟台东方威思顿电气有限公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,山东省烟台市莱山区
91440300561500443T,深圳佰维存储科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
91610138311195757G,杭州和利时自动化有限公司西安分公司,外商投资企业,制造业,其他专业技术人员,陕西省西安市雁塔区
91440300319776273R,深圳市镭神智能系统有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市宝安区
91150000114115818T,内蒙古电力（集团）有限责任公司,国有企业,电力、热力、燃气及水生产和供应业,其他人员,内蒙古呼和浩特市赛罕区
91640100MA7HR4062N,华电（宁夏）能源有限公司新能源分公司,国有企业,电力、热力、燃气及水生产和供应业,生产和运输设备操作人员,宁夏银川市金凤区
91610132MA6W99GJ8X,陕西望友仿真技术有限公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,陕西省西安市雁塔区
11350800MB1895440J,国家税务局龙岩市税务局第二稽查局,其他事业单位,公共管理、社会保障和社会组织,公务员,福建省上杭县
91440300MA5EH0KF1N,维沃移动通信（深圳）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市市辖区
91110109MA009FUK1T,中铁物贸集团北京有限公司,国有企业,批发和零售业,经济业务人员,北京市门头沟区
91611102MAB2T2JH2G,陕西德创数字工业智能科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
916100003336294569,中航西飞民用飞机有限责任公司,国有企业,制造业,工程技术人员,陕西省西安市阎良区
915000007907103997,中国移动通信集团设计院有限公司重庆分公司,国有企业,科学研究和技术服务业,工程技术人员,重庆市渝北区
916531009300027741,中国工商银行股份有限公司喀什分行,国有企业,金融业,金融业务人员,新疆喀什市
12610000435630669J,陕西科技大学,高等教育单位,教育,教学人员,陕西省西安市未央区
52610100H16258739T,西安崇是中学,中初教育单位,教育,教学人员,陕西省西安市雁塔区
911301007387208217,石家庄银河微波技术有限公司,其他企业（含民营企业等）,制造业,工程技术人员,河北省石家庄市鹿泉区
9137030058454852X4,山东中外运齐鲁物流有限公司,国有企业,交通运输、仓储和邮政业,经济业务人员,山东省淄博市张店区
91110108560350260C,诚通融资租赁有限公司,其他企业（含民营企业等）,租赁和商务服务业,金融业务人员,浙江省杭州市拱墅区
116108000160826370,中共榆林市委办公室,机关,公共管理、社会保障和社会组织,公务员,陕西省榆林市榆阳区
91510700205412308D,四川长虹电器股份有限公司,国有企业,制造业,工程技术人员,四川省绵阳市涪城区
91610000732678562A,陕西长岭电子科技有限责任公司,国有企业,制造业,工程技术人员,陕西省宝鸡市渭滨区
91440400684430123K,珠海金山网络游戏科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,广东省珠海市香洲区
91310112798987659U,上海中广核工程科技有限公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,上海市闵行区
913702004280000795,青岛四三零八机械厂,国有企业,制造业,工程技术人员,山东省青岛市市北区
91110113795146184N,北京龙湖物业服务有限公司,其他企业（含民营企业等）,房地产业,其他人员,北京市朝阳区
91370602MA3CMYU66J,烟台初心航空科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,山东省烟台市莱山区
91440101MA59HUAA42,广州赛睿检测设备有限公司,国有企业,制造业,工程技术人员,广东省广州市增城区
914300007121944054,中联重科股份有限公司,外商投资企业,制造业,工程技术人员,湖南省长沙市岳麓区
12100000220940950Q,中国飞行试验研究院,科研设计单位,科学研究和技术服务业,科学研究人员,陕西省西安市阎良区
91610131MA6TYHPX5G,西安智翔防务技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
12100000400014620M,北京无线电测量研究所,科研设计单位,科学研究和技术服务业,科学研究人员,北京市海淀区
913100000879390282,加特兰微电子科技（上海）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
91650190MABJJMY04G,新疆中部合盛硅业有限公司,其他企业（含民营企业等）,制造业,生产和运输设备操作人员,新疆乌鲁木齐市米东区
91440300745152789Q,招银网络科技（深圳）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,广东省深圳市南山区
91120116710939151W,天津一汽丰田汽车有限公司,外商投资企业,制造业,其他专业技术人员,天津市滨海新区
9144030031977063XH,深圳前海微众银行股份有限公司,其他企业（含民营企业等）,金融业,金融业务人员,广东省深圳市南山区
914400007491828034,中国电信股份有限公司广东研究院,国有企业,信息传输、软件和信息技术服务业,工程技术人员,广东省广州市天河区
91440300MA5EH2LU6N,深圳市精锋医疗科技股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省深圳市龙岗区
91370212718041506K,青岛海尔人力资源开发有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,山东省青岛市崂山区
911100001000054748,中国农业银行股份有限公司,国有企业,金融业,工程技术人员,110101
91320104MA1YCUAC9N,南京欧珀软件科技有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,其他人员,320104
91440000730486030B,广东电网有限责任公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,广东省珠海市市辖区
915101007497238179,成都振芯科技股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,四川省成都市武侯区
91440300MA5DMEYY03,广东欧加通信科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,广东省深圳市南山区
916100006641086712,陕西正衡管理咨询有限责任公司,其他企业（含民营企业等）,租赁和商务服务业,其他人员,陕西省西安市长安区
52130000MJY9489008,邢台应用技术职业学院,高等教育单位,信息传输、软件和信息技术服务业,教学人员,河北省威县
754335579,国家税务总局上海市杨浦区税务局,机关,公共管理、社会保障和社会组织,公务员,上海市杨浦区
91110108679604408D,北京集创北方科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,科学研究人员,北京市大兴区
91620500756558610D,天水华天科技股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,甘肃省天水市秦州区
91610000MAB2QCYT7P,国网陕西省电力有限公司,国有企业,电力、热力、燃气及水生产和供应业,其他人员,陕西省延安市市辖区
9142010066953862X0,武汉明德生物科技股份有限公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,湖北省武汉市江夏区
91310000132257510M,上海银行股份有限公司,国有企业,金融业,其他专业技术人员,上海市浦东新区
123307824717706267,义乌市义亭中学,中初教育单位,教育,教学人员,浙江省义乌市
91610131333793942P,陕西金骏斗山机械设备有限公司,其他企业（含民营企业等）,制造业,其他人员,陕西省西安市市辖区
115335275798413347,耿马傣族佤族自治县人力资源和社会保障局,机关,公共管理、社会保障和社会组织,公务员,云南省耿马傣族佤族自治县
91310000736239890T,中国银联股份有限公司,国有企业,金融业,工程技术人员,上海市浦东新区
91440300MA5H65RL1L,深圳市欧冶半导体有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,广东省深圳市南山区
91340000MA2RCF4L9Q,大众汽车（安徽）有限公司,外商投资企业,制造业,工程技术人员,安徽省合肥市包河区
91610000667952640E,上海外服（陕西）人力资源服务有限公司,国有企业,居民服务、修理和其他服务业,其他人员,陕西省西安市碑林区
126101004372062987,西安职业技术学院,高等教育单位,教育,教学人员,陕西省西安市雁塔区
52410000752296617Q,新乡医学院三全学院,高等教育单位,教育,教学人员,河南省新乡市红旗区
91110000681951142E,英大泰和财产保险股份有限公司,国有企业,金融业,其他人员,北京市东城区
91330106MA2KL14NXR,上海依图智安人工智能科技有限公司杭州分公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,浙江省杭州市西湖区
12440000756476455A,广东省信息技术应用研究所,机关,信息传输、软件和信息技术服务业,公务员,广东省广州市天河区
91150000710923934F,国能神东煤炭集团有限责任公司,国有企业,采矿业,其他专业技术人员,陕西省神木市
91430200707250281J,株洲联诚集团控股股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,湖南省株洲市石峰区
91310118MA7D9GBD09,上海联虹技术有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,上海市青浦区
91330108MA27WUKR13,浙江吉利远程新能源商用车集团有限公司,其他企业（含民营企业等）,制造业,工程技术人员,浙江省杭州市滨江区
91320106249663766N,南京通达海科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,江苏省南京市鼓楼区
91440300738806174Y,深圳市科曼医疗设备有限公司,其他企业（含民营企业等）,制造业,科学研究人员,广东省深圳市光明区
911400007011347302,晋商银行股份有限公司,其他企业（含民营企业等）,金融业,金融业务人员,山西省太原市小店区
81110000MC5953373T,中国航天科技集团公司第五研究院西安分院,科研设计单位,科学研究和技术服务业,科学研究人员,陕西省西安市长安区
914301003964661646,湖南融创微电子有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,湖南省长沙市岳麓区
91320100724550809E,江苏肯立科技股份有限公司,其他企业（含民营企业等）,制造业,其他人员,江苏省南京市玄武区
12610000435204555T,西安财经大学,高等教育单位,教育,教学人员,陕西省西安市长安区
916101383337315227,西安华芯微半导体有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,陕西省西安市雁塔区
913301007682254698,淘宝（中国）软件有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市余杭区
12100000489558586R,华侨大学,高等教育单位,教育,教学人员,福建省厦门市集美区
91510107749708799U,成都民航空管科技发展有限公司,国有企业,科学研究和技术服务业,科学研究人员,四川省成都市武侯区
91340000150229679Q,中国能源建设集团安徽电力建设第二工程有限公司,国有企业,建筑业,工程技术人员,安徽省合肥市蜀山区
91610000713594558X,中国石油天然气股份有限公司长庆油田分公司,国有企业,采矿业,工程技术人员,陕西省西安市未央区
12620000438140606L,兰州交通大学,高等教育单位,教育,教学人员,甘肃省兰州市安宁区
91110108MA00A2RM9M,北京魔门塔科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91610000435232142D,西安现代控制技术研究所,科研设计单位,科学研究和技术服务业,工程技术人员,陕西省西安市雁塔区
91511500MA7DG0NA78,宜宾三江电子信息产业有限公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,四川省宜宾市翠屏区
91610000766315444U,兴业银行股份有限公司西安分行,国有企业,金融业,金融业务人员,陕西省西安市市辖区
91150622318546994F,国能准能集团有限责任公司,国有企业,采矿业,其他人员,内蒙古准格尔旗
91610400088077490F,陕西崇文科技信息有限公司,其他企业（含民营企业等）,教育,其他人员,陕西省咸阳市秦都区
91440400192548256N,珠海格力电器股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省珠海市香洲区
91611102MA7BB60147,德创未来汽车科技有限公司,国有企业,科学研究和技术服务业,工程技术人员,陕西省西安市市辖区
91611104MA6THADD33,陕西秦思网络科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
12520300429380333E,遵义师范学院,高等教育单位,教育,科学研究人员,贵州省遵义市红花岗区
91610131MA6UW29966,西安相臣锦天企业文化传播有限公司,其他企业（含民营企业等）,文化、体育和娱乐业,其他专业技术人员,陕西省西安市长安区
124403005521093031,南方科技大学,高等教育单位,科学研究和技术服务业,科学研究人员,广东省深圳市南山区
911101080628016980,北京九章云极科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,上海市静安区
915000007530714446,中国电信股份有限公司重庆分公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,重庆市渝北区
9111010867425041X0,中广核（北京）仿真技术有限公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,广东省深圳市福田区
91320583251237758W,昆山九华电子设备厂,国有企业,制造业,工程技术人员,江苏省昆山市
91610131MAB0HYLX6P,西安轻网信息科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
91510122MA6BQQ1D3J,四川科锐新激光科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,科学研究人员,四川省成都市双流区
91410700417087690D,中国电子科技集团公司第二十二研究所,科研设计单位,科学研究和技术服务业,科学研究人员,山东省青岛市城阳区
12610000435203464U,陕西中医药大学,高等教育单位,教育,教学人员,陕西省咸阳市秦都区
913400006709283261,中国电信股份有限公司安徽分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,安徽省合肥市蜀山区
91330108676770486E,杭州华为企业通信技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,浙江省杭州市市辖区
9113000060128757X4,中国移动通信集团河北有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,河北省石家庄市桥西区
11530129745284503C,寻甸回族彝族自治县科学技术和工业信息化局,机关,公共管理、社会保障和社会组织,公务员,云南省寻甸回族彝族自治县
913100006778230255,腾讯科技（上海）有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,上海市徐汇区
91330110MA7MLK703J,杭州车之杭汽车科技有限公司,外商投资企业,科学研究和技术服务业,工程技术人员,浙江省杭州市余杭区
91440300MA5GYRY06K,深圳闻储创新科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省深圳市龙岗区
91370200MA3DHKKP30,卡奥斯物联科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,山东省青岛市崂山区
91650100660605777E,国网新疆电力有限公司乌鲁木齐供电公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,650104
12100000400003702G,中国船舶重工集团公司第七二三研究所,科研设计单位,科学研究和技术服务业,科学研究人员,江苏省扬州市市辖区
12100000400010945B,中国科学院自动化研究所,科研设计单位,科学研究和技术服务业,科学研究人员,北京市海淀区
91320115MA1Q42FL71,北京中安智能信息科技有限公司南京分公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,江苏省南京市江宁区
12610429MB2928718E,旬邑县机关事务管理局,机关,居民服务、修理和其他服务业,办事人员和有关人员,陕西省旬邑县
11610100013423301M,西安市公安局未央分局,机关,卫生和社会工作,办事人员和有关人员,陕西省西安市未央区
91110108600382049F,学大教育,其他企业（含民营企业等）,教育,教学人员,陕西省西安市雁塔区
914307250663596499,湖南迪文科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,其他人员,湖南省桃源县
12320200466305914T,无锡汽车工程高等职业技术学校,中初教育单位,教育,教学人员,江苏省无锡市惠山区
11610821016084229A,陕西省神木市教体局,中初教育单位,教育,教学人员,陕西省神木市
91310114MA1GW5UY02,上海米哈游影铁科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,上海市徐汇区
91610131MA6UUDLLXY,西安蔚然汽车销售服务有限公司,其他企业（含民营企业等）,制造业,商业和服务业人员,陕西省西安市雁塔区
91510100MA6CGUWYXC,微龛（成都）半导体科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,四川省成都市郫都区
91610131MAB0H8UJ8B,欣欣相融教育科技（北京）有限公司西安第一分公司,其他企业（含民营企业等）,教育,教学人员,陕西省西安市雁塔区
913500006110085113,福建星网锐捷通讯股份有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,福建省福州市仓山区
11130684K011160007,中国共产党高碑店市委员会组织部,机关,公共管理、社会保障和社会组织,公务员,河北省高碑店市
91430000670770346D,中国电信股份有限公司湖南分公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,湖南省长沙市雨花区
913206006739139048,招商银行股份有限公司南通分行,其他企业（含民营企业等）,金融业,金融业务人员,江苏省南通市市辖区
91420300063507079P,东风商用车有限公司,国有企业,制造业,工程技术人员,湖北省十堰市张湾区
91610000735369001Y,上海浦东发展银行股份有限公司西安分行,国有企业,金融业,金融业务人员,陕西省西安市雁塔区
91440300MA5GEA5KX8,深圳啦啦动体育文化发展有限公司,其他企业（含民营企业等）,文化、体育和娱乐业,体育工作人员,广东省深圳市南山区
91140000110012838P,中国能源建设集团山西电力建设有限公司,国有企业,建筑业,其他人员,山西省太原市小店区
91440300192317458U,比亚迪股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省深圳市坪山区
914403007311028524,深圳市新国都股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
91510100MA6AYELD0W,成都华兴大地科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,四川省成都市武侯区
11411300MB1971650X,南阳市卫生健康委员会,机关,卫生和社会工作,公务员,河南省南阳市卧龙区
91640000750836106M,中国电信股份有限公司宁夏分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,宁夏银川市金凤区
916100002205216920,西安电子工程研究所,科研设计单位,信息传输、软件和信息技术服务业,科学研究人员,陕西省西安市长安区
91320594MA1N9MW02K,中科亿海微电子科技（苏州）有限公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,吴中区
525100006922500776,西南交通大学希望学院,高等教育单位,教育,教学人员,四川省金堂县
913700007456765902,潍柴动力股份有限公司,国有企业,制造业,工程技术人员,山东省潍坊市奎文区
12610100MB2A32734J,西安市第一实验学校,中初教育单位,教育,教学人员,陕西省西安市未央区
915300006226003346,昆明南天电脑系统有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,云南省昆明市盘龙区
9142010072576928XD,武汉光迅科技股份有限公司,国有企业,制造业,其他专业技术人员,湖北省武汉市江夏区
91610000735354889H,中国移动通信集团陕西有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
126100004372027642,西安航空学院,高等教育单位,教育,教学人员,陕西省西安市莲湖区
116102007836620341,铜川市国资委,机关,公共管理、社会保障和社会组织,办事人员和有关人员,陕西省宜君县
911101086003810384,北京信安世纪科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,北京市海淀区
91320200134756196A,江苏北方湖光光电有限公司,国有企业,制造业,工程技术人员,江苏省无锡市锡山区
91410000170002324A,河南中孚实业股份有限公司,其他企业（含民营企业等）,制造业,其他人员,河南省巩义市
91610300220533749U,陕西烽火电子股份有限公司,国有企业,制造业,工程技术人员,陕西省宝鸡市渭滨区
91440300553867739G,深圳数马电子技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,广东省深圳市南山区
12411200005802686D,中共三门峡市委党史地方史志办公室,机关,文化、体育和娱乐业,办事人员和有关人员,河南省三门峡市
91110102064890700P,中国电信股份有限公司数字智能科技分公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,北京市东城区
91610131MA6U1E4Y2Q,西安兆芯集成电路有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
52610000748610845J,西京学院,高等教育单位,教育,教学人员,陕西省西安市长安区
91420100597900924B,摩托罗拉（武汉）移动技术通信有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他人员,湖北省武汉市市辖区
9113108275027983XC,三河建华高科有限责任公司,国有企业,制造业,其他专业技术人员,河北省三河市
91110000801160143K,北京数字政通科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91140100083728338B,山西贵恩博信息科技有限公司,其他企业（含民营企业等）,交通运输、仓储和邮政业,其他专业技术人员,北京市朝阳区
91611105MAC4BYAP39,西安汉得信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,上海市青浦区
11622900013955877L,临夏回族自治州教育局,机关,教育,办事人员和有关人员,甘肃省临夏市
12340000485002433U,合肥师范学院,高等教育单位,教育,教学人员,安徽省合肥市庐阳区
91610131MA710QFU2P,华润数字科技（西安）有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
91610301735380518E,陕汽集团商用车有限公司,国有企业,制造业,工程技术人员,陕西省岐山县
914403005891698012,卡莱特云科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,广东省深圳市南山区
91150100664096092X,招商银行股份有限公司呼和浩特分行,其他企业（含民营企业等）,金融业,工程技术人员,内蒙古呼和浩特市赛罕区
913306007477034849,中国电信股份有限公司绍兴分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,浙江省绍兴市越城区
9110000071092841XX,中国人寿保险股份有限公司,国有企业,金融业,其他专业技术人员,北京市西城区
911000001000013428,中国银行股份有限公司,国有企业,金融业,金融业务人员,110102
91610131MAB0QNPHX0,新华三技术有限公司西安分公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市市辖区
116101167502037202,西安市长安区王曲街道办事处,机关,公共管理、社会保障和社会组织,公务员,陕西省西安市长安区
116101226986075329,蓝田县安村镇人民政府,机关,公共管理、社会保障和社会组织,公务员,陕西省蓝田县
91410000719172532Q,中国移动通信集团河南有限公司,国有企业,信息传输、软件和信息技术服务业,其他人员,河南省郑州市金水区
91410182353416802G,河南英高能源科技有限公司,其他企业（含民营企业等）,制造业,其他人员,河南省荥阳市
913502006120496576,厦门优迅高速芯片有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,福建省厦门市思明区
91440106MAC02UYC64,广州市攻城师科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,办事人员和有关人员,广东省广州市天河区
91110108633691577R,北京华弘集成电路设计有限责任公司,国有企业,信息传输、软件和信息技术服务业,其他人员,北京市海淀区
91610000570658373Q,中国人寿财产保险股份有限公司陕西省分公司,国有企业,金融业,工程技术人员,陕西省西安市未央区
11440000007546655G,深圳市社会发展研究中心,机关,科学研究和技术服务业,公务员,广东省深圳市福田区
91532625MA6K630Y5C,云锡文山锌铟冶炼有限公司,国有企业,采矿业,工程技术人员,云南省马关县
91440410MA54ALLA7Y,珠海格力电器智能制造有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,广东省珠海市金湾区
91310000631137409B,上海复旦微电子集团股份有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市杨浦区
91310118685459112N,上海随训通电子科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市闵行区
91330000788831167A,网易（杭州）网络有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,其他人员,浙江省杭州市滨江区
91610131678613716E,艾宾信息技术开发（西安）有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
91430100MA4M6LMA65,长沙浏阳唯美高级中学,其他企业（含民营企业等）,教育,教学人员,湖南省浏阳市
91131122788699872N,武邑县祥泰磨料磨具有限公司,其他企业（含民营企业等）,制造业,办事人员和有关人员,河北省武邑县
122100004635637743,辽宁科技学院,高等教育单位,教育,教学人员,辽宁省本溪市市辖区
12100000H158013061,中国银行保险监督管理委员会陕西监管局,机关,公共管理、社会保障和社会组织,公务员,陕西省西安市雁塔区
91440300MA5G945G3J,中建七局第六建筑有限公司,国有企业,建筑业,工程技术人员,广东省深圳市宝安区
911100007334588792,紫光同芯微电子有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91140800666601208L,大运汽车股份有限公司,其他企业（含民营企业等）,制造业,经济业务人员,山西省运城市盐湖区
91320582060245579N,江苏国泰汉帛实业发展有限公司,国有企业,租赁和商务服务业,商业和服务业人员,江苏省张家港市
52370687MJE339666T,烟台市中英文学校,中初教育单位,文化、体育和娱乐业,教学人员,山东省海阳市
91440300MA5FUHLN1E,深圳市富兰瓦时技术有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,广东省深圳市宝安区
